,name,categories,address,lat,lng,labeledLatLngs,distance,postalCode,cc,neighborhood,city,state,country,formattedAddress,crossStreet,id,ratings
15,Korin,Furniture / Home Store,57 Warren St,40.71482437714839,-74.00940425461492,"[{'label': 'display', 'lat': 40.71482437714839, 'lng': -74.00940425461492}, {'label': 'entrance', 'lat': 40.714727, 'lng': -74.009399}]",369,10007,US,Tribeca,New York,NY,United States,"['57 Warren St (Church St)', 'New York, NY 10007', 'United States']",Church St,4af5d65ff964a52091fd21e3,9.3
16,Nish Nūsh,Falafel Restaurant,88 Reade St,40.71553710116416,-74.00772452925565,"[{'label': 'display', 'lat': 40.71553710116416, 'lng': -74.00772452925565}, {'label': 'entrance', 'lat': 40.715615, 'lng': -74.00773}]",344,10013,US,,New York,NY,United States,"['88 Reade St (at Church St)', 'New York, NY 10013', 'United States']",at Church St,50ba9119e4b071a4bae6dc10,8.8
17,Equinox Tribeca,Gym,54 Murray St,40.71409860726041,-74.0096857179283,"[{'label': 'display', 'lat': 40.71409860726041, 'lng': -74.0096857179283}]",345,10007,US,,New York,NY,United States,"['54 Murray St (at W Broadway)', 'New York, NY 10007', 'United States']",at W Broadway,4a6e331af964a52031d41fe3,8.8
18,Racines,French Restaurant,94 Chambers St,40.714754151461236,-74.0075806002039,"[{'label': 'display', 'lat': 40.714754151461236, 'lng': -74.0075806002039}]",261,10007,US,,New York,NY,United States,"['94 Chambers St', 'New York, NY 10007', 'United States']",,534c9d7b498e1bdd443a40e1,8.4
19,Heyday,Spa,92 Reade St,40.715726,-74.007767,"[{'label': 'display', 'lat': 40.715726, 'lng': -74.007767}, {'label': 'entrance', 'lat': 40.715654, 'lng': -74.00782}]",364,10013,US,,New York,NY,United States,"['92 Reade St', 'New York, NY 10013', 'United States']",,57ad129c498e05b086594d72,9.0
20,Shake Shack,Burger Joint,200 Broadway,40.71070286896417,-74.00902390480042,"[{'label': 'display', 'lat': 40.71070286896417, 'lng': -74.00902390480042}]",339,10038,US,,New York,NY,United States,"['200 Broadway (at Fulton St)', 'New York, NY 10038', 'United States']",at Fulton St,5787b68e498efcabbebba4f8,8.7
21,Nobu Downtown,Japanese Restaurant,195 Broadway,40.71095811409332,-74.00964495960692,"[{'label': 'display', 'lat': 40.71095811409332, 'lng': -74.00964495960692}]",364,10007,US,,New York,NY,United States,"['195 Broadway (at Dey St.)', 'New York, NY 10007', 'United States']",at Dey St.,4b60c708f964a520d0f829e3,8.7
22,Pisillo Italian Cafe,Café,,40.71049280792626,-74.00754611675153,"[{'label': 'display', 'lat': 40.71049280792626, 'lng': -74.00754611675153}]",280,,US,,New York,NY,United States,"['New York, NY', 'United States']",,588a4316326c5a4b60559f17,8.3
23,Konditori,Café,135 William St,40.70947390929377,-74.00663033243585,"[{'label': 'display', 'lat': 40.70947390929377, 'lng': -74.00663033243585}]",365,10038,US,,New York,NY,United States,"['135 William St', 'New York, NY 10038', 'United States']",,5953e5314382ab0b3b808dc6,8.5
24,Exceed Physical Culture,Gym / Fitness Center,97 Reade St,40.7156286200256,-74.0079922583853,"[{'label': 'display', 'lat': 40.7156286200256, 'lng': -74.0079922583853}, {'label': 'entrance', 'lat': 40.715589, 'lng': -74.008105}]",363,10013,US,Tribeca,New York,NY,United States,"['97 Reade St (bet W Broadway & Church St)', 'New York, NY 10013', 'United States']",bet W Broadway & Church St,53910ac3498e57a5dc0eb160,8.5
25,Atera,Molecular Gastronomy Restaurant,77 Worth St,40.71675176130724,-74.00571150855457,"[{'label': 'display', 'lat': 40.71675176130724, 'lng': -74.00571150855457}]",448,10013,US,,New York,NY,United States,"['77 Worth St (btwn Broadway & Church St)', 'New York, NY 10013', 'United States']",btwn Broadway & Church St,4f627061e4b05c1d57815977,9.1
26,Nish Nush,Falafel Restaurant,41 John St,40.709418,-74.008056,"[{'label': 'display', 'lat': 40.709418, 'lng': -74.008056}]",406,10038,US,Financial District,New York,NY,United States,"['41 John St (btwn Nassau & Dutch St)', 'New York, NY 10038', 'United States']",btwn Nassau & Dutch St,564cb952498e133963c04186,8.7
27,Modern Martial Arts NYC Tribeca,Martial Arts School,78 Reade St,40.71543099173628,-74.00736173096483,"[{'label': 'display', 'lat': 40.71543099173628, 'lng': -74.00736173096483}]",321,10007,US,,New York,NY,United States,"['78 Reade St (at Church St & Broadway)', 'New York, NY 10007', 'United States']",at Church St & Broadway,4e31c3b1814d9a6fbde557c7,8.3
28,Takahachi,Sushi Restaurant,145 Duane St,40.71652647412374,-74.00810108466207,"[{'label': 'display', 'lat': 40.71652647412374, 'lng': -74.00810108466207}, {'label': 'entrance', 'lat': 40.716508, 'lng': -74.007989}]",457,10013,US,,New York,NY,United States,"['145 Duane St (btwn W Broadway & Church St)', 'New York, NY 10013', 'United States']",btwn W Broadway & Church St,4a8f2f39f964a520471420e3,9.0
29,Little Park,American Restaurant,85 W Broadway,40.715486585249735,-74.00913313510836,"[{'label': 'display', 'lat': 40.715486585249735, 'lng': -74.00913313510836}, {'label': 'entrance', 'lat': 40.715227, 'lng': -74.009263}]",404,10007,US,,New York,NY,United States,"['85 W Broadway (at Chambers St)', 'New York, NY 10007', 'United States']",at Chambers St,545c0436498e798e22ce4b2a,8.6
30,Chambers Street Wines,Wine Shop,148 Chambers St,40.715773063928374,-74.00971823312332,"[{'label': 'display', 'lat': 40.715773063928374, 'lng': -74.00971823312332}, {'label': 'entrance', 'lat': 40.715696, 'lng': -74.00988}]",460,10007,US,,New York,NY,United States,"['148 Chambers St (btwn West Broadway & Hudson St)', 'New York, NY 10007', 'United States']",btwn West Broadway & Hudson St,4adcf23cf964a520cc6221e3,9.0
31,Oculus Plaza,Plaza,,40.711821657420536,-74.01163247839355,"[{'label': 'display', 'lat': 40.711821657420536, 'lng': -74.01163247839355}]",484,10007,US,,New York,NY,United States,"['New York, NY 10007', 'United States']",,5984eeb39be522744003dee5,9.1
32,Apple World Trade Center,Electronics Store,185 Greenwich St,40.712033,-74.0114282,"[{'label': 'display', 'lat': 40.712033, 'lng': -74.0114282}]",463,10007,US,,New York,NY,United States,"['185 Greenwich St', 'New York, NY 10007', 'United States']",,57a240f1cd10ed172db51626,8.9
33,Juice Press,Vegetarian / Vegan Restaurant,83 Murray St,40.71478769908051,-74.0111317502157,"[{'label': 'display', 'lat': 40.71478769908051, 'lng': -74.0111317502157}]",488,10007,US,,New York,NY,United States,"['83 Murray St (btwn Greenwich St & W Broadway)', 'New York, NY 10007', 'United States']",btwn Greenwich St & W Broadway,54148bc6498ea7bb8c05b70a,9.1
34,Affina Nails & Spa - Fulton Street,Nail Salon,88 Fulton St,40.70923532947193,-74.00553371595937,"[{'label': 'display', 'lat': 40.70923532947193, 'lng': -74.00553371595937}, {'label': 'entrance', 'lat': 40.709132, 'lng': -74.00578}]",390,10038,US,,New York,NY,United States,"['88 Fulton St', 'New York, NY 10038', 'United States']",,535af42f498e0f645e3546e0,8.4
35,Lekka Burger,Burger Joint,81 Warren St,40.715246,-74.010559,"[{'label': 'display', 'lat': 40.715246, 'lng': -74.010559}]",474,10007,US,,New York,NY,United States,"['81 Warren St (btw Greenwich & West Broadway)', 'New York, NY 10007', 'United States']",btw Greenwich & West Broadway,5dc6f6a5ea8dfb00080f6faa,8.9
